"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"63",1,18.5,2,2,3,4,1.5,1,1,2,0,2,120,301,"b"
"64",0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,"a"
"65",0,24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,"b"
"66",1,42,9.79,2,14,8,7.96,1,1,8,0,2,0,1,"b"
"67",0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,"a"
"68",1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,"a"
"69",1,31.25,2.835,2,1,1,0,0,1,5,0,2,176,147,"a"
"70",1,27.25,1.585,2,13,8,1.835,1,1,12,1,2,583,714,"b"
"71",1,48.75,26.335,1,1,1,0,1,0,0,1,2,0,1,"a"
"72",0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,"a"
"73",1,29.42,1.25,2,9,4,1.75,0,0,0,0,2,200,1,"a"
"74",1,28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,8,"b"
"75",1,40.25,21.5,2,10,9,20,1,1,11,0,2,0,1201,"b"
"76",1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,51,"a"
"77",1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,"a"
"78",1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,1,"a"
"79",1,23.08,0,2,4,4,1,0,1,11,0,1,0,1,"a"
"80",0,32.17,1.46,2,9,4,1.085,1,1,16,0,2,120,2080,"b"
"81",1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,"b"
"82",0,35.17,3.75,2,1,1,0,0,1,6,0,2,0,201,"a"
"83",0,18.58,10,2,2,4,0.415,0,0,0,0,2,80,43,"a"
"84",1,39.92,5,2,3,5,0.21,0,0,0,0,2,550,1,"a"
"85",1,23.42,1,2,8,4,0.5,0,0,0,1,1,280,1,"a"
"86",1,37.58,0,2,8,4,0,0,0,0,0,3,184,1,"b"
"87",0,24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,"a"
"88",0,47,13,2,3,5,5.165,1,1,9,1,2,0,1,"b"
"89",1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,"b"
"90",1,22.17,0.585,1,1,1,0,0,0,0,0,2,100,1,"a"
"91",1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,"a"
"92",1,42.75,4.085,2,6,4,0.04,0,0,0,0,2,108,101,"a"
"93",1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,"a"
"94",1,36.25,5,2,8,5,2.5,1,1,6,0,2,0,368,"b"
"95",0,18.17,10,1,11,8,0.165,0,0,0,0,2,340,1,"a"
"96",1,21.25,1.5,2,9,4,1.5,0,0,0,0,2,150,9,"b"
"97",0,38.92,1.665,2,6,4,0.25,0,0,0,0,2,0,391,"a"
"98",1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,"a"
"99",0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,11,"a"
"100",0,20.42,0.835,2,11,4,1.585,1,1,1,0,2,0,1,"b"
"101",0,39.08,4,2,8,4,3,0,0,0,0,2,480,1,"a"
"102",1,38.67,0.21,2,4,4,0.085,1,0,0,1,2,280,1,"b"
"103",1,27.67,13.75,2,9,4,5.75,1,0,0,1,2,487,501,"b"
"104",1,27.75,0.585,1,13,4,0.25,1,1,2,0,2,260,501,"b"
"105",1,19,0,1,1,1,0,0,1,4,0,2,45,2,"a"
"106",0,25,0.875,2,14,8,1.04,1,0,0,1,2,160,5861,"b"
"107",1,27.67,2,2,14,8,1,1,1,4,0,2,140,7545,"b"
"108",1,22.25,9,2,6,4,0.085,0,0,0,0,2,0,1,"a"
"109",0,49.83,13.585,2,4,8,8.5,1,0,0,1,2,0,1,"b"
"110",1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,"a"
"111",1,38.25,10.125,1,4,4,0.125,0,0,0,0,2,160,1,"a"
"112",1,47.33,6.5,2,8,4,1,0,0,0,1,2,0,229,"a"
"113",1,27.83,4,1,3,8,5.75,1,1,2,1,2,75,1,"a"
"114",0,35.75,0.915,2,6,4,0.75,1,1,4,0,2,0,1584,"b"
"115",1,33.58,0.25,2,3,5,4,0,0,0,1,1,420,1,"a"
"116",1,34.08,0.08,1,7,5,0.04,1,1,1,1,2,280,2001,"b"
"117",0,20.75,10.335,2,13,8,0.335,1,1,1,1,2,80,51,"b"
"118",1,33.17,1,2,14,4,0.75,1,1,7,1,2,340,4072,"b"
"119",1,22.75,11,2,11,4,2.5,1,1,7,1,2,100,810,"b"
"120",1,48.75,8.5,2,8,8,12.5,1,1,9,0,2,181,1656,"b"
"121",1,40.58,5,2,8,4,5,1,1,7,0,2,0,3066,"b"
"122",1,20.67,0.835,1,8,4,2,0,0,0,1,1,240,1,"a"
"123",0,38.75,1.5,2,1,1,0,0,0,0,0,2,76,1,"a"
"124",0,57.08,19.5,2,8,4,5.5,1,1,7,0,2,0,3001,"b"
"125",0,31.25,3.75,2,13,8,0.625,1,1,9,1,2,181,1,"b"
"126",1,22,0.79,2,9,4,0.29,0,1,1,0,2,420,284,"a"
"127",0,58.33,10,2,11,4,4,1,1,14,0,2,0,1603,"b"
"128",1,28.92,0.375,2,8,4,0.29,0,0,0,0,2,220,141,"a"
"129",0,46,4,2,5,3,0,1,0,0,0,2,100,961,"b"
"130",1,21,3,1,2,4,1.085,1,1,8,1,2,160,2,"b"
"131",0,24.75,12.5,2,6,4,1.5,1,1,12,1,2,120,568,"b"
"132",0,20.83,0.5,1,10,2,1,0,0,0,0,2,260,1,"a"
"133",1,24.58,13.5,1,1,1,0,0,0,0,0,2,184,1,"a"
"134",0,26.5,2.71,1,8,4,0.085,0,0,0,0,1,80,1,"a"
"135",1,40.92,0.835,2,1,1,0,1,0,0,0,2,130,2,"a"
"136",0,38.33,4.415,2,8,4,0.125,0,0,0,0,2,160,1,"a"
"137",1,19.58,0.585,2,1,1,0,0,1,3,0,2,350,770,"a"
"138",1,39.25,9.5,2,7,4,6.5,1,1,14,0,2,240,4608,"b"
"139",1,25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,"b"
"140",0,46.08,3,2,8,4,2.375,1,1,8,1,2,396,4160,"b"
"141",1,19.67,10,1,4,8,0.835,1,0,0,1,2,140,1,"a"
"142",0,22.25,1.25,1,1,1,3.25,0,0,0,0,2,280,1,"a"
"143",1,18.83,3.54,1,1,1,0,0,0,0,1,2,180,2,"a"
"144",1,64.08,20,2,14,8,17.5,1,1,9,1,2,0,1001,"b"
"145",0,16.5,1.25,2,11,4,0.25,0,1,1,0,2,108,99,"a"
"146",0,68.67,15,2,10,9,0,1,1,14,0,2,0,3377,"b"
"147",1,76.75,22.29,2,10,9,12.75,1,1,1,1,2,0,110,"b"
"148",0,15.92,2.875,2,11,4,0.085,0,0,0,0,2,120,1,"a"
"149",1,34.83,4,2,2,5,12.5,1,0,0,1,2,184,1,"a"
"150",0,47.42,8,2,10,5,6.5,1,1,6,0,2,375,51101,"b"
"151",1,23.17,0,2,8,4,0,0,0,0,0,3,184,1,"b"
"152",1,45.17,1.5,2,8,4,2.5,1,0,0,1,2,140,1,"a"
"153",1,15.17,7,2,10,4,1,0,0,0,0,2,600,1,"a"
"154",1,18.83,0.415,1,8,4,0.165,0,1,1,0,2,200,2,"a"
"155",1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,"b"
"156",1,19.17,0,1,7,5,0,0,0,0,1,1,500,2,"b"
"157",1,18,0.165,2,11,7,0.21,0,0,0,0,2,200,41,"b"
"158",1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,6,"a"
"159",1,22.67,1.585,1,9,4,3.085,1,1,6,0,2,80,1,"b"
"160",1,47.83,4.165,2,14,5,0.085,0,0,0,1,2,520,1,"a"
"161",1,34.08,2.5,2,8,4,1,0,0,0,0,2,460,17,"a"
"162",0,33.08,1.625,2,2,4,0.54,0,0,0,1,2,0,1,"a"
"163",1,43.08,0.375,1,8,4,0.375,1,1,8,1,2,300,163,"b"
"164",1,34.5,4.04,1,3,5,8.5,1,1,7,1,2,195,1,"b"
"165",1,42.75,3,2,3,5,1,1,0,0,0,2,0,201,"a"
"166",1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,"a"
"167",1,23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,"a"
"168",0,22.5,8.46,1,14,4,2.46,0,0,0,0,2,164,1,"b"
"169",1,17.92,0.205,2,6,4,0.04,0,0,0,0,2,280,751,"a"
"170",1,18.42,10.415,1,6,4,0.125,1,0,0,0,2,120,376,"a"
"171",0,27.67,1.5,2,7,4,2,1,0,0,0,1,368,1,"a"
"172",0,18.92,9.25,1,8,4,1,1,1,4,1,2,80,501,"b"
"173",1,22.67,0.75,2,3,4,1.585,0,1,1,1,2,400,10,"a"
"174",1,62.5,12.75,1,8,8,5,1,0,0,0,2,112,1,"a"
"175",0,23.5,9,2,11,4,8.5,1,1,5,1,2,120,1,"b"
"176",1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,"a"
"177",0,56.83,4.25,1,1,1,5,0,0,0,1,2,0,5,"a"
"178",0,53.33,0.165,2,1,1,0,0,0,0,1,1,62,28,"a"
"179",1,41.17,4.04,2,13,8,7,1,1,8,0,2,320,1,"b"
"180",1,42.17,5.04,2,11,8,12.75,1,0,0,1,2,92,1,"b"
"181",1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,"a"
"182",0,33.75,0.75,2,4,5,1,1,1,3,1,2,212,1,"a"
"183",1,25.67,12.5,2,13,4,1.21,1,1,67,1,2,140,259,"b"
"184",1,24.33,6.625,1,2,4,5.5,1,0,0,1,1,100,1,"b"
"185",1,23.33,11.625,1,9,4,0.835,1,0,0,1,2,160,301,"b"
"186",1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,"a"
"187",1,37.17,4,2,8,5,5,1,0,0,1,1,280,1,"a"
"188",1,26.25,1.54,2,9,4,0.125,0,0,0,0,2,100,1,"a"
"189",0,29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,"a"
"190",0,23,1.835,2,5,3,0,0,1,1,0,2,200,54,"a"
"191",1,17.25,3,2,4,4,0.04,0,0,0,1,2,160,41,"a"
"192",1,29.25,14.79,2,6,4,5.04,1,1,5,1,2,168,1,"b"
"193",0,28.58,3.54,2,3,5,0.5,1,0,0,1,2,171,1,"a"
"194",1,34.58,0,2,8,4,0,0,0,0,0,3,184,1,"a"
"195",1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,"a"
"196",1,25,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,"b"
"197",0,18.75,7.5,2,11,4,2.71,1,1,5,0,2,184,26727,"b"
"198",1,17.08,0.25,2,11,4,0.335,0,1,4,0,2,160,9,"a"
"199",0,16.08,0.335,2,1,1,0,0,1,1,0,2,160,127,"a"
"200",1,32.92,2.5,2,6,4,1.75,0,1,2,1,2,720,1,"a"
"201",0,20.33,10,2,8,8,1,1,1,4,0,2,50,1466,"b"
"202",0,21.75,1.75,1,5,3,0,0,0,0,0,2,160,1,"a"
"203",1,33.17,1.04,2,12,8,6.5,1,0,0,1,2,164,31286,"b"
"204",0,25.33,2.085,2,8,8,2.75,1,0,0,1,2,360,2,"a"
"205",0,24.75,3,2,11,8,1.835,1,1,19,0,2,0,501,"b"
"206",1,30.83,0,2,9,4,1.25,1,1,1,0,2,202,1,"b"
"207",1,20.75,5.085,1,5,4,0.29,0,0,0,0,2,140,185,"a"
"208",0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,19,"a"
"209",1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,"a"
"210",1,40.92,0.5,1,7,4,0.5,0,0,0,1,2,130,1,"a"
"211",0,29.5,0.46,2,4,4,0.54,1,1,4,0,2,380,501,"b"
"212",1,54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,"b"
"213",1,34,5.5,1,8,4,1.5,0,0,0,1,2,60,1,"a"
"214",1,25,12,2,4,4,2.25,1,1,2,1,2,120,6,"a"
"215",0,26.58,2.54,1,1,1,0,0,0,0,1,2,180,61,"a"
"216",0,33.08,4.625,2,11,8,1.625,1,1,2,0,2,0,1,"b"
"217",1,33.67,2.165,2,8,4,1.5,0,0,0,0,3,120,1,"a"
"218",1,36.17,5.5,2,3,5,5,0,0,0,0,2,210,688,"a"
"219",1,19.5,0.29,2,4,4,0.29,0,0,0,0,2,280,365,"a"
"220",1,24.17,0.875,2,11,4,4.625,1,1,2,1,2,520,2001,"b"
"221",0,30.5,6.5,2,8,5,4,1,1,7,1,2,0,3066,"b"
"222",1,20,7,2,8,4,0.5,0,0,0,0,2,0,1,"a"
"223",1,25.33,0.58,2,8,4,0.29,1,1,7,1,2,96,5125,"b"
"224",1,29.58,4.75,2,7,4,2,0,1,1,1,2,460,69,"a"
"225",1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,1,"a"
"226",1,28.75,1.165,2,4,4,0.5,1,0,0,0,1,280,1,"a"
"227",1,31.57,3,1,3,5,7,0,0,0,0,2,0,2,"a"
"228",1,20.25,9.96,2,10,2,0,1,0,0,0,2,0,1,"b"
"229",1,45,8.5,2,13,8,14,1,1,1,1,2,88,2001,"b"
"230",0,22.83,2.29,2,11,8,2.29,1,1,7,1,2,140,2385,"b"
"231",0,20.67,3,2,11,4,0.165,1,1,3,0,2,100,7,"b"
"232",1,27.83,1.5,2,9,4,2.25,0,1,1,1,2,100,4,"a"
"233",1,40.92,2.25,1,14,8,10,1,0,0,1,2,176,1,"a"
"234",1,56.42,28,1,8,4,28.5,1,1,40,0,2,0,16,"b"
"235",0,64.08,0.165,2,1,1,0,1,1,1,0,2,232,101,"b"
"236",0,22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,"b"
"237",0,24.33,2.5,1,3,5,4.5,0,0,0,0,2,200,457,"a"
"238",0,69.5,6,2,1,1,0,0,0,0,0,1,0,1,"a"
"239",1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,1,"a"
"240",1,48.33,12,2,7,4,16,1,0,0,0,1,110,1,"b"
"241",0,28.08,15,1,10,9,0,1,0,0,0,2,0,13213,"b"
"242",1,35.17,2.5,2,4,4,4.5,1,1,7,0,2,150,1271,"b"
"243",1,49.5,7.585,2,3,5,7.585,1,1,15,1,2,0,5001,"b"
"244",1,80.25,5.5,2,8,4,0.54,1,0,0,0,2,0,341,"a"
"245",1,29.25,13,2,2,8,0.5,0,0,0,0,2,228,1,"a"
"246",0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,"a"
"247",0,16,0.165,2,6,4,1,0,1,2,1,2,320,2,"a"
"248",1,60.08,14.5,2,1,1,18,1,1,15,1,2,0,1001,"b"
"249",1,28,2,2,4,8,4.165,1,1,2,1,2,181,1,"b"
"250",1,41.5,1.54,2,3,5,3.5,0,0,0,0,2,216,1,"b"
"251",1,24.08,9,2,6,4,0.25,0,0,0,1,2,0,1,"a"
"252",1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,"a"
"253",1,34.75,15,2,12,7,5.375,1,1,9,1,2,0,135,"b"
"254",1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,1,"a"
"255",0,40.83,10,2,11,8,1.75,1,0,0,0,2,29,838,"b"
"256",1,20.42,1.835,2,8,4,2.25,1,1,1,0,2,100,151,"b"
"257",1,37.5,1.125,1,2,4,1.5,0,0,0,1,2,431,1,"b"
"258",1,48.5,4.25,2,7,4,0.125,1,0,0,1,2,225,1,"b"
"259",1,23,0.75,2,7,4,0.5,0,0,0,1,1,320,1,"a"
"260",1,35,3.375,2,8,8,8.29,0,0,0,1,2,0,1,"a"
"261",1,16.33,2.75,2,6,4,0.665,0,1,1,0,2,80,22,"a"
"262",1,22.67,10.5,2,11,8,1.335,1,0,0,0,2,100,1,"b"
"263",0,21.75,11.75,2,8,4,0.25,0,0,0,1,2,180,1,"a"
"264",0,25.08,2.54,1,6,4,0.25,1,0,0,1,2,370,1,"b"
"265",1,36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,"b"
"266",0,28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,"a"
"267",1,22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,"a"
"268",1,34.17,1.54,2,13,4,1.54,1,1,1,1,2,520,50001,"b"
"269",1,35,2.5,2,3,4,1,0,0,0,1,2,210,1,"a"
"270",1,28.58,3.625,2,6,4,0.25,0,0,0,1,2,100,1,"a"
"271",0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,"a"
"272",1,23.25,1,2,8,4,0.835,1,0,0,0,1,300,1,"b"
"273",1,16.5,0.125,2,8,4,0.165,0,0,0,0,2,132,1,"a"
"274",0,20.08,0.125,2,11,4,1,0,1,1,0,2,240,769,"b"
"275",1,22.33,11,2,9,4,2,1,1,1,0,2,80,279,"b"
"276",1,34,5.085,1,3,5,1.085,0,0,0,1,2,480,1,"a"
"277",0,57.08,0.335,2,3,5,1,1,0,0,1,2,252,2198,"a"
"278",1,16.25,0.835,2,7,4,0.085,1,0,0,0,1,200,1,"a"
"279",1,32.83,2.5,2,13,8,2.75,1,1,6,0,2,160,2073,"b"
"280",1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,"b"
"281",1,34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,201,"a"
"282",1,18.33,1.21,1,10,2,0,0,0,0,0,2,100,1,"a"
"283",1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,"a"
"284",1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,"a"
"285",1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,"a"
"286",1,25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,21,"b"
"287",1,65.42,11,2,10,9,20,1,1,7,1,2,22,1,"b"
"288",1,41.33,0,2,8,5,15,1,0,0,0,2,0,1,"b"
"289",1,31.25,1.125,2,1,1,0,0,1,1,0,2,96,20,"a"
"290",0,36.75,4.71,2,1,1,0,0,0,0,0,2,160,1,"a"
"291",1,32.33,7.5,2,10,5,1.585,1,0,0,1,1,420,1,"a"
"292",0,31.92,3.125,2,1,1,3.04,0,1,2,1,2,200,5,"a"
"293",1,24.83,2.75,2,8,4,2.25,1,1,6,0,2,184,601,"b"
"294",1,21.92,0.54,1,14,4,0.04,1,1,1,1,2,840,60,"b"
"295",1,34.25,3,2,13,8,7.415,1,0,0,1,2,0,1,"b"
"296",1,51.83,3,1,1,1,1.5,0,0,0,0,2,180,5,"a"
"297",0,31.57,1.5,2,1,1,0,0,1,2,1,2,200,106,"a"
"298",1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,"a"
"299",1,39.17,1.71,2,14,4,0.125,1,1,5,1,2,480,1,"b"
"300",1,18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,588,"a"
"301",1,39,5,2,13,4,3.5,1,1,10,1,2,0,1,"b"
"302",1,20,11.045,2,8,4,2,0,0,0,1,2,136,1,"a"
"303",1,32.75,2.335,2,2,8,5.75,0,0,0,1,2,292,1,"a"
"304",1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,"a"
"305",0,15.83,7.625,2,11,4,0.125,0,1,1,1,2,0,161,"a"
"306",1,39.33,5.875,2,13,8,10,1,1,14,1,2,399,1,"b"
"307",0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,6,"a"
"308",1,21.33,10.5,2,8,4,3,1,0,0,1,2,0,1,"b"
"309",0,22.67,0.75,2,8,4,2,0,1,2,1,2,200,395,"a"
"310",1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,22,"a"
"311",1,21.08,10.085,1,10,8,1.25,0,0,0,0,2,260,1,"a"
"312",0,49,1.5,2,5,3,0,1,0,0,1,2,100,28,"a"
"313",1,20.67,5.29,2,11,4,0.375,1,1,1,0,2,160,1,"a"
"314",0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,100,"b"
"315",1,21.83,0.25,2,2,8,0.665,1,0,0,1,2,0,1,"b"
"316",1,26.83,0.54,2,4,1,0,0,0,0,0,2,100,1,"a"
"317",0,38.58,5,2,13,4,13.5,1,0,0,1,2,980,1,"a"
"318",0,50.08,12.54,2,6,4,2.29,1,1,3,1,2,156,1,"b"
"319",0,15.75,0.375,2,8,4,1,0,0,0,0,2,120,19,"a"
"320",0,24.5,12.75,2,8,5,4.75,1,1,2,0,2,73,445,"b"
"321",1,21,4.79,1,9,4,2.25,1,1,1,1,2,80,301,"b"
"322",1,22.08,11,2,13,4,0.665,1,0,0,0,2,100,1,"b"
"323",1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,"b"
"324",1,18.08,5.5,2,4,4,0.5,1,0,0,0,2,80,1,"b"
"325",1,36.67,4.415,1,4,4,0.25,1,1,10,1,2,320,1,"b"
"326",1,38.17,10.125,2,14,4,2.5,1,1,6,0,2,520,197,"b"
"327",1,21.83,1.54,2,4,4,0.085,0,0,0,1,2,356,1,"a"
"328",0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,"a"
"329",1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,11,"a"
"330",1,52.42,1.5,2,2,4,3.75,0,0,0,1,2,0,351,"a"
"331",0,60.92,5,2,6,4,4,1,1,4,0,2,0,100,"b"
"332",1,20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1,"b"
"333",1,23.25,4,2,8,5,0.25,1,0,0,1,2,160,1,"b"
"334",1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,"a"
"335",0,42.25,1.75,1,8,4,0,0,0,0,1,2,150,2,"a"
"336",1,23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,"a"
"337",0,36,1,2,8,4,2,1,1,11,0,2,0,457,"b"
"338",1,39.58,5,2,1,1,0,0,1,2,0,2,17,2,"a"
"339",0,18.83,4.415,1,8,8,3,1,0,0,0,2,240,1,"b"
"340",1,27.25,0.625,2,6,4,0.455,1,0,0,1,2,200,1,"a"
"341",1,32.42,3,2,2,4,0.165,0,0,0,1,2,120,1,"a"
"342",1,19.42,1.5,1,13,4,2,1,0,0,1,2,100,21,"a"
"343",0,22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,"b"
"344",1,39.92,6.21,2,11,4,0.04,1,1,1,0,2,200,301,"b"
"345",1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,"b"
"346",0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,401,"b"
"347",0,30,5.29,2,10,2,2.25,1,1,5,1,2,99,501,"b"
